Date,Open,High,Low,Close,Volume,Price_Change_Pct,Close_Relative_Pos,Volume_Ratio,Volume_Ratio_5D,True_Pct_Change,MA5,Bias_MA5,MA20,Bias_MA20,Label
2025-01-02,14.35,14.4,14.1,14.1,31822.0,0.021276595744680903,0.0,1.2204494899133236,1.344084204835358,-0.017421602787456445,14.4,-0.02083333333333338,15.0,-0.060000000000000026,1
2025-01-03,14.2,14.35,13.95,13.95,29276.0,0.028673835125448056,0.0,0.9199924580478914,1.138674321097135,-0.010638297872340451,14.26,-0.021739130434782643,14.9325,-0.065796082370668,1
2025-01-06,14.1,14.2,13.95,14.1,42863.0,0.01792114695340502,0.6000000000000014,1.4641002869244433,1.3770891029306878,0.010752688172043038,14.169999999999998,-0.004940014114325936,14.85,-0.050505050505050504,1
2025-01-07,14.25,14.75,14.25,14.5,69140.0,0.03508771929824561,0.5,1.6130462170170077,1.7356595958328103,0.028368794326241162,14.2,0.021126760563380333,14.7925,-0.019773533885414935,1
2025-01-08,14.6,14.7,14.45,14.6,32470.0,0.01730103806228374,0.6000000000000014,0.4696268440844663,0.7897514727271844,0.006896551724137907,14.25,0.024561403508771906,14.747499999999999,-0.010001695202576646,0
2025-01-09,14.6,14.65,14.05,14.15,38413.0,0.042704626334519546,0.16666666666666619,1.1830304896827841,0.9052752142230936,-0.03082191780821913,14.26,-0.007713884992987337,14.6775,-0.03593936297053312,0
2025-01-10,14.05,14.1,13.8,13.9,59528.0,0.021739130434782532,0.3333333333333333,1.549683700830448,1.22781687526298,-0.0176678445229682,14.25,-0.024561403508771906,14.584999999999999,-0.04696606102159745,0
2025-01-13,13.8,13.8,13.4,13.6,59328.0,0.029850746268656744,0.4999999999999978,0.9966402365273485,1.1458635115246891,-0.02158273381294969,14.15,-0.03886925795053008,14.497499999999999,-0.06190722538368679,1
2025-01-14,13.7,13.95,13.65,13.9,29695.0,0.0219780219780219,0.8333333333333363,0.5005225188781014,0.6766271407347995,0.022058823529411818,14.030000000000001,-0.009265858873841822,14.429999999999998,-0.03672903672903657,0
2025-01-15,13.95,14.25,13.9,14.05,33155.0,0.02517985611510789,0.42857142857143005,1.116517932311837,0.7531153603278227,0.010791366906474845,13.920000000000002,0.009339080459770043,14.382499999999999,-0.023118373022770578,1
2025-01-16,14.35,14.4,13.85,13.85,34678.0,0.03971119133574012,0.0,1.0459357562961846,0.8013069358178053,-0.014234875444839933,13.86,-0.0007215007215007061,14.320000000000002,-0.032821229050279496,1
2025-01-17,14.05,14.1,13.85,13.95,26240.0,0.018050541516245487,0.3999999999999986,0.7566757021742891,0.7165639882902959,0.007220216606498169,13.87,0.005767844268204764,14.272499999999999,-0.022595901208617958,1
2025-01-20,14.05,14.05,13.65,13.85,42790.0,0.02930402930402933,0.4999999999999978,1.630716463414634,1.2845375184620373,-0.007168458781361982,13.919999999999998,-0.005028735632183801,14.25,-0.028070175438596516,1
2025-01-21,14.05,14.3,13.8,13.8,46301.0,0.036231884057971016,0.0,1.082051881280673,1.2639219497281124,-0.0036101083032490204,13.9,-0.007194244604316521,14.190000000000001,-0.027484143763213568,1
2025-01-22,13.95,14.05,13.8,14.05,34428.0,0.018115942028985508,1.0,0.7435692533638583,0.9333268270466337,0.018115942028985508,13.9,0.010791366906474845,14.15,-0.007067137809187254,0
2025-02-03,13.85,13.85,13.5,13.6,39251.0,0.0259259259259259,0.285714285714285,1.1400894620657605,1.0383313052219458,-0.03202846975088976,13.85,-0.018050541516245487,14.092500000000001,-0.034947667198864746,1
2025-02-04,13.7,13.75,13.3,13.35,32456.0,0.033834586466165356,0.11111111111110891,0.8268833915059489,0.8312417403419627,-0.01838235294117647,13.73,-0.027676620538965826,14.0275,-0.04829798609873465,1
