Date,Open,High,Low,Close,Volume,Price_Change_Pct,Close_Relative_Pos,Volume_Ratio,Volume_Ratio_5D,True_Pct_Change,MA5,Bias_MA5,MA20,Bias_MA20,Label
2025-01-02,138.5,141.0,137.0,137.5,5538.0,0.029197080291970802,0.125,0.5492412972329663,0.3636769592455903,-0.014336917562724014,137.1,0.0029175784099198083,132.75,0.035781544256120526,1
2025-01-03,138.5,142.5,137.5,141.5,11188.0,0.03636363636363636,0.8,2.020223907547851,1.0799019323951273,0.02909090909090909,138.3,0.02313810556760657,133.05,0.06350995866215699,1
2025-01-06,143.5,146.5,138.0,143.0,19607.0,0.06159420289855073,0.5882352941176471,1.7525026814444047,1.511859231386096,0.01060070671378092,139.4,0.02582496413199422,133.5,0.07116104868913857,1
2025-01-07,146.0,147.0,140.0,140.5,18141.0,0.05,0.07142857142857142,0.9252307849237518,1.4050374088015243,-0.017482517482517484,140.4,0.0007122507122506717,133.9,0.04929051530993274,0
2025-01-08,139.5,141.5,135.0,136.5,11410.0,0.04814814814814815,0.23076923076923078,0.6289620197343035,0.8659158521036975,-0.028469750889679714,139.8,-0.023605150214592353,134.225,0.016949152542372923,0
2025-01-09,136.5,137.0,129.0,129.0,9644.0,0.06201550387596899,0.0,0.8452234881682734,0.6889555650807259,-0.054945054945054944,138.1,-0.06589427950760315,134.125,-0.03821062441752097,0
2025-01-10,128.5,132.0,128.0,128.5,5336.0,0.03125,0.125,0.5532973869763583,0.415978047335433,-0.003875968992248062,135.5,-0.05166051660516605,134.075,-0.041581204549692254,0
2025-01-13,127.0,127.5,119.5,121.0,11998.0,0.06694560669456066,0.1875,2.248500749625187,1.0612252118381715,-0.058365758754863814,131.1,-0.07704042715484359,133.775,-0.09549616894038501,1
2025-01-14,122.5,125.0,121.0,122.5,4209.0,0.03305785123966942,0.375,0.350808468078013,0.4940488766814565,0.012396694214876033,127.5,-0.0392156862745098,133.675,-0.08359827940901447,0
2025-01-15,122.5,123.5,118.5,120.0,4763.0,0.04219409282700422,0.3,1.1316227132335472,0.6624478442280946,-0.02040816326530612,124.2,-0.03381642512077297,133.35,-0.10011248593925755,1
