商品代碼:2303	商品名稱:聯電

日期	開盤價	最高價	最低價	收盤價	成交量
'2006/04/21 00:00	21.5500	22.5000	21.5000	22.2000	196102
'2006/04/24 00:00	22.3000	22.9000	22.0500	22.5000	123461
'2006/04/25 00:00	22.5000	22.5000	21.7500	21.8500	78215
'2006/04/26 00:00	22.0000	22.3000	21.8500	22.3000	87714
'2006/04/27 00:00	22.3000	22.3000	21.5500	21.5500	88113
'2006/04/28 00:00	21.7000	22.2000	21.7000	22.2000	86415
'2006/05/02 00:00	22.0000	22.2000	21.8500	22.2000	77537
'2006/05/03 00:00	22.2000	22.6000	22.1500	22.2000	54861
'2006/05/04 00:00	22.3000	22.6000	22.2500	22.3500	50981
'2006/05/05 00:00	22.5000	22.7500	22.4500	22.4500	71439
'2006/05/08 00:00	22.6000	22.7500	22.5000	22.6000	41943
'2006/05/09 00:00	22.6000	22.6000	22.2500	22.3500	55248
'2006/05/10 00:00	22.0000	22.0000	21.1500	21.3000	107257
'2006/05/11 00:00	21.0000	21.3000	20.8000	21.0000	77296
'2006/05/12 00:00	20.6000	20.7500	20.5500	20.6000	63922
'2006/05/15 00:00	20.2000	20.4000	20.0000	20.3000	83645
'2006/05/16 00:00	20.3500	20.5500	20.2500	20.3500	60860
'2006/05/17 00:00	20.6000	21.4500	20.4500	21.1000	70542
'2006/05/18 00:00	20.6000	20.8000	20.2000	20.6000	72686
'2006/05/19 00:00	20.5000	20.8000	20.3500	20.8000	37608
'2006/05/22 00:00	20.8000	20.8000	19.8000	19.8000	90641
'2006/05/23 00:00	19.8000	20.3500	19.8000	20.1000	62559
'2006/05/24 00:00	20.3000	20.5000	19.9000	20.1000	63988
'2006/05/25 00:00	20.0000	20.1500	19.8500	19.9000	59311
'2006/05/26 00:00	20.1000	20.1000	19.5000	19.7500	92696
'2006/05/29 00:00	19.8000	20.1000	19.8000	19.8000	32210
'2006/05/30 00:00	20.0000	20.4500	19.9500	20.2000	51292
'2006/06/01 00:00	20.1500	20.3000	20.0000	20.0000	49471
'2006/06/02 00:00	20.2000	20.3500	20.0500	20.3000	44455
'2006/06/05 00:00	20.3000	20.3500	19.4000	19.6000	79428
'2006/06/06 00:00	19.5000	19.6500	18.9000	19.5000	115671
'2006/06/07 00:00	19.4500	19.4500	19.1000	19.1000	30503
'2006/06/08 00:00	18.9000	19.2000	18.5000	18.8000	94080
'2006/06/09 00:00	18.8000	19.2000	18.3500	19.2000	110830
'2006/06/12 00:00	18.5500	19.1000	18.3000	19.1000	79967
'2006/06/13 00:00	18.4000	18.6000	18.2500	18.2500	78161
'2006/06/14 00:00	18.2500	18.7000	18.2000	18.5500	67865
'2006/06/15 00:00	18.6000	18.6500	18.4500	18.5000	38838
'2006/06/16 00:00	19.0000	19.1000	18.7500	18.7500	60665
'2006/06/19 00:00	18.9000	19.0000	18.7000	18.7000	38454
'2006/06/20 00:00	18.5500	18.7500	18.1500	18.2500	67459
'2006/06/21 00:00	18.3000	18.5500	18.3000	18.5000	27762
'2006/06/22 00:00	18.7500	19.1000	18.7000	19.1000	52438
'2006/06/23 00:00	18.8000	18.8500	18.5500	18.7000	40744
'2006/06/26 00:00	18.8000	18.9000	18.5500	18.9000	23261
'2006/06/27 00:00	19.0000	19.1000	18.7000	19.0000	36241
'2006/06/28 00:00	18.5000	18.8500	18.5000	18.8500	51890
'2006/06/29 00:00	18.7500	19.0500	18.7500	19.0000	52798
'2006/06/30 00:00	19.4500	19.4500	19.2500	19.4000	59569
'2006/07/03 00:00	19.4000	19.4500	19.2000	19.4000	31223
'2006/07/04 00:00	19.4500	19.5000	19.2000	19.4000	37560
'2006/07/05 00:00	19.2500	19.3000	19.0000	19.1500	49361
'2006/07/06 00:00	18.9000	19.2000	18.8500	19.1500	33856
'2006/07/07 00:00	19.1500	19.2500	19.0500	19.2000	20192
'2006/07/10 00:00	18.9000	19.4000	18.8000	19.4000	39221
'2006/07/11 00:00	19.1000	19.3000	19.0000	19.2000	32666
'2006/07/12 00:00	19.2500	19.3500	18.8500	19.1000	66110
'2006/07/13 00:00	18.8000	18.8500	18.6000	18.6000	41043
'2006/07/14 00:00	18.3000	18.4500	18.1000	18.1000	72273
'2006/07/17 00:00	18.0000	18.2000	17.5500	17.6000	57370
'2006/07/18 00:00	17.8000	17.9000	17.6500	17.7000	33830
'2006/07/19 00:00	17.9000	18.0000	17.7500	17.9500	31065
'2006/07/20 00:00	18.4500	18.5000	18.3000	18.4000	44170
'2006/07/21 00:00	18.2500	18.3500	18.2000	18.2500	14163
'2006/07/24 00:00	17.9000	17.9500	17.8000	17.9500	34042
'2006/07/25 00:00	18.1000	18.3000	18.0000	18.0000	29197
'2006/07/26 00:00	18.0000	18.1000	17.7000	17.8000	46334
'2006/07/27 00:00	17.8000	17.9000	17.7000	17.8000	79415
'2006/07/28 00:00	17.8000	17.9500	17.7500	17.9500	35815
'2006/07/31 00:00	18.2500	18.3000	17.8500	18.0000	35870
'2006/08/01 00:00	18.1000	18.1500	17.8500	17.8500	55910
'2006/08/02 00:00	17.6000	17.6500	17.3500	17.6000	39208
'2006/08/03 00:00	18.1500	18.2000	17.9500	18.0500	72452
'2006/08/04 00:00	18.1000	18.2000	17.8500	17.9000	45063
'2006/08/07 00:00	17.9500	18.0000	17.8000	17.8000	36226
'2006/08/08 00:00	17.8500	18.1000	17.8500	18.1000	28546
'2006/08/09 00:00	18.1500	18.4000	18.1000	18.3500	43314
'2006/08/10 00:00	18.3000	18.7000	18.3000	18.5000	63255
'2006/08/11 00:00	18.6000	18.7000	18.4000	18.4000	37373
'2006/08/14 00:00	18.4000	18.7000	18.3000	18.4000	38970
'2006/08/15 00:00	18.4500	18.5000	18.3500	18.4500	23593
'2006/08/16 00:00	18.7500	18.8000	18.6000	18.8000	74357
'2006/08/17 00:00	19.2000	19.3000	19.0000	19.2000	122081
'2006/08/18 00:00	19.3000	19.3500	19.0500	19.0500	44228
'2006/08/21 00:00	18.9000	19.0000	18.3000	18.4000	61859
'2006/08/22 00:00	18.4000	18.5500	18.4000	18.5500	30809
'2006/08/23 00:00	18.5500	18.6000	18.1500	18.4000	44323
'2006/08/24 00:00	18.2500	18.4000	18.2000	18.3500	27181
'2006/08/25 00:00	18.4000	18.5500	18.2000	18.2500	25290
'2006/08/28 00:00	18.2500	18.2500	17.9500	18.0000	33456
'2006/08/29 00:00	18.1500	18.2500	18.0000	18.0500	32805
'2006/08/30 00:00	18.2000	18.5000	18.1500	18.3500	46134
'2006/08/31 00:00	18.4500	18.5500	18.0000	18.0000	62961
'2006/09/01 00:00	18.1000	18.2000	18.0500	18.1000	57881
'2006/09/04 00:00	18.3000	18.3500	18.2000	18.3000	38249
'2006/09/05 00:00	18.3500	18.3500	18.1500	18.2000	32893
'2006/09/06 00:00	18.2000	18.3500	18.0500	18.1000	42915
'2006/09/07 00:00	17.9500	18.1000	17.9500	18.0500	34900
'2006/09/08 00:00	18.0000	18.1500	18.0000	18.0500	41155
'2006/09/11 00:00	18.0500	18.2500	18.0000	18.0000	37922
'2006/09/12 00:00	18.0000	18.0500	17.6500	17.7500	61905
'2006/09/13 00:00	17.9500	18.0500	17.9000	17.9500	40812
'2006/09/14 00:00	18.0000	18.1000	17.7500	17.9000	45480
'2006/09/15 00:00	17.8500	18.0000	17.8000	17.8500	36117
'2006/09/18 00:00	18.0000	18.5000	18.0000	18.4500	80771
'2006/09/19 00:00	18.5000	18.8000	18.4500	18.5000	57645
'2006/09/20 00:00	18.4000	18.6500	18.4000	18.4500	39081
'2006/09/21 00:00	18.6000	18.7000	18.4500	18.5500	32928
'2006/09/22 00:00	18.5500	18.6000	18.4000	18.4500	33154
'2006/09/25 00:00	18.3500	18.6500	18.3500	18.6000	33720
'2006/09/26 00:00	18.7000	18.8000	18.5500	18.5500	35246
'2006/09/27 00:00	18.7000	18.9500	18.7000	18.8000	70289
'2006/09/28 00:00	18.9000	18.9500	18.6000	18.7000	59592
'2006/09/29 00:00	18.6000	18.7500	18.4500	18.5500	62936
'2006/10/02 00:00	18.5000	18.7500	18.5000	18.6500	43672
'2006/10/03 00:00	18.6000	18.8000	18.5500	18.7500	43626
'2006/10/04 00:00	18.6500	18.7500	18.4000	18.4000	52678
'2006/10/05 00:00	18.5000	18.8500	18.5000	18.7500	76121
'2006/10/11 00:00	18.6000	18.6500	18.3500	18.3500	64001
'2006/10/12 00:00	18.3000	18.4500	18.0500	18.2000	72968
'2006/10/13 00:00	18.3500	18.4500	18.3000	18.4000	51532
'2006/10/14 00:00	18.4000	18.5500	18.4000	18.4500	16442
'2006/10/16 00:00	18.5000	18.9500	18.4500	18.9500	77022
'2006/10/17 00:00	18.9500	18.9500	18.7500	18.8500	48552
'2006/10/18 00:00	18.7000	18.7500	18.4500	18.5000	29578
'2006/10/19 00:00	18.4500	18.6000	18.2500	18.3000	46479
'2006/10/20 00:00	18.3000	18.4500	18.3000	18.3500	26382
'2006/10/23 00:00	18.4000	18.4000	18.1500	18.2000	38126
'2006/10/24 00:00	18.2000	18.4000	18.2000	18.3500	54868
'2006/10/25 00:00	18.2500	18.3000	18.1000	18.1000	35896
'2006/10/26 00:00	18.1000	18.2000	18.0500	18.0500	66131
'2006/10/27 00:00	18.1000	18.3000	18.1000	18.2500	29293
'2006/10/30 00:00	18.2000	18.2500	18.1000	18.2000	46681
'2006/10/31 00:00	18.2000	18.5500	18.2000	18.5500	67270
'2006/11/01 00:00	18.5500	18.5500	18.2500	18.2500	45510
'2006/11/02 00:00	18.1500	18.4000	18.1500	18.3500	32611
'2006/11/03 00:00	18.3000	18.4000	18.2000	18.3500	44469
'2006/11/06 00:00	18.1000	18.3000	18.1000	18.1000	28809
'2006/11/07 00:00	18.3000	18.4000	18.2000	18.4000	33404
'2006/11/08 00:00	18.4000	18.4000	18.2000	18.2000	15459
'2006/11/09 00:00	18.2500	18.5500	18.2000	18.2500	59908
'2006/11/10 00:00	18.3500	18.5000	18.3000	18.5000	32836
'2006/11/13 00:00	18.5000	18.5000	18.2500	18.3000	16157
'2006/11/14 00:00	18.4000	18.5500	18.4000	18.5000	35439
'2006/11/15 00:00	18.7000	19.0000	18.7000	18.9000	113228
'2006/11/16 00:00	19.0000	19.3000	19.0000	19.2000	93606
'2006/11/17 00:00	19.4000	19.5000	19.1000	19.1000	59596
'2006/11/20 00:00	19.1000	19.2000	18.8000	19.0000	40873
'2006/11/21 00:00	19.1000	19.3500	18.9500	19.2000	51974
'2006/11/22 00:00	19.3000	19.3500	19.0500	19.0500	26815
'2006/11/23 00:00	19.1000	19.3500	19.0500	19.2000	39586
'2006/11/24 00:00	19.2500	19.9000	19.1500	19.9000	108031
'2006/11/27 00:00	21.2500	21.2500	20.8000	21.2500	265678
'2006/11/28 00:00	21.0000	21.1000	20.7000	20.7000	167059
'2006/11/29 00:00	20.7000	21.1000	20.7000	20.9500	125668
'2006/11/30 00:00	21.0500	21.2500	20.9500	21.1500	116606
'2006/12/01 00:00	21.1500	21.1500	20.8000	21.0000	115108
'2006/12/04 00:00	20.8000	21.0000	20.4500	20.9500	66858
'2006/12/05 00:00	21.0500	21.1500	20.6500	20.6500	57727
'2006/12/06 00:00	20.8000	20.9500	20.6500	20.7500	42783
'2006/12/07 00:00	20.8500	20.8500	20.6000	20.6000	51824
'2006/12/08 00:00	20.4500	20.5000	20.1000	20.2500	62774
'2006/12/11 00:00	20.2000	20.2500	19.9500	20.0500	45513
'2006/12/12 00:00	19.9000	19.9000	19.2500	19.3500	65675
'2006/12/13 00:00	19.2000	19.3000	18.9000	19.0500	85296
'2006/12/14 00:00	19.1000	19.2500	19.1000	19.2000	45702
'2006/12/15 00:00	19.3000	19.5000	19.1000	19.2000	70714
'2006/12/18 00:00	19.3000	19.4500	19.2500	19.4000	33783
'2006/12/19 00:00	19.4000	19.4500	19.3000	19.3500	23182
'2006/12/20 00:00	19.4000	19.6000	19.3500	19.6000	28757
'2006/12/21 00:00	19.5000	19.8500	19.5000	19.6500	37563
'2006/12/22 00:00	19.7000	19.8000	19.5500	19.8000	19259
'2006/12/25 00:00	19.8000	19.8000	19.5500	19.5500	13374
'2006/12/26 00:00	19.5500	19.9500	19.5500	19.9000	33037
'2006/12/27 00:00	20.0000	20.1500	19.9500	19.9500	37532
'2006/12/28 00:00	20.1500	20.2500	20.0500	20.1500	45456
'2006/12/29 00:00	20.1500	20.2500	20.0000	20.2500	36432
'2007/01/02 00:00	20.4500	20.5500	20.2500	20.4000	37635
'2007/01/03 00:00	20.4000	20.6500	20.1000	20.1000	53000
'2007/01/04 00:00	20.2000	20.5000	20.1000	20.2500	43959
'2007/01/05 00:00	20.2500	20.4500	19.8500	20.0000	51429
'2007/01/08 00:00	19.9000	20.0000	19.7000	19.7000	57126
'2007/01/09 00:00	19.8500	20.0500	19.6500	19.8000	45030
'2007/01/10 00:00	19.6500	19.6500	19.2500	19.3500	67033
'2007/01/11 00:00	19.3500	19.6000	19.2500	19.3500	64167
'2007/01/12 00:00	19.6000	20.2500	19.6000	20.1000	80804
'2007/01/15 00:00	20.3000	20.3500	20.0000	20.2500	41811
'2007/01/16 00:00	20.2500	20.3500	20.0500	20.1000	22453
'2007/01/17 00:00	20.0000	20.0500	19.8500	20.0000	33157
'2007/01/18 00:00	19.9000	20.0000	19.7500	19.9000	36443
'2007/01/19 00:00	19.8000	19.8000	19.5500	19.6000	37325
'2007/01/22 00:00	19.8000	19.8500	19.5000	19.6000	32248
'2007/01/23 00:00	19.6000	19.7000	19.5000	19.6000	17934
'2007/01/24 00:00	20.9500	20.9500	20.9500	20.9500	42141
'2007/01/25 00:00	22.4000	22.4000	21.5000	21.6000	388169
'2007/01/26 00:00	21.2000	21.4500	21.0000	21.1000	98653
'2007/01/29 00:00	21.2000	21.3500	21.0000	21.1500	47166
'2007/01/30 00:00	21.1500	21.2000	20.7500	20.7500	58289
'2007/01/31 00:00	20.8000	21.0000	20.5000	20.6500	39869
'2007/02/01 00:00	20.7000	20.8000	20.5500	20.6000	22572
'2007/02/02 00:00	20.7500	20.9000	20.6500	20.6500	47759
'2007/02/05 00:00	20.6000	20.8000	20.4500	20.5000	42246
'2007/02/06 00:00	20.5000	20.7000	20.5000	20.6000	48160
'2007/02/07 00:00	20.6000	20.6500	20.4500	20.4500	42605
'2007/02/08 00:00	20.5500	20.6500	20.1500	20.2000	53439
'2007/02/09 00:00	20.3000	20.6000	20.2500	20.6000	40328
'2007/02/12 00:00	20.4500	20.5000	20.2500	20.4000	32676
'2007/02/13 00:00	20.3000	20.4000	19.9500	19.9500	52456
'2007/02/14 00:00	20.1000	20.1000	19.9500	20.0000	78485
'2007/02/26 00:00	20.4000	20.4500	20.0500	20.1000	86751
'2007/02/27 00:00	20.2500	20.5500	20.2000	20.2000	69894
'2007/03/01 00:00	19.8000	19.9000	19.6000	19.6500	100072
'2007/03/02 00:00	19.4000	19.7000	19.4000	19.6000	61867
'2007/03/03 00:00	19.6000	19.6000	19.4000	19.4500	28086
'2007/03/05 00:00	19.4000	19.4000	18.5000	18.6500	80952
'2007/03/06 00:00	18.7000	19.1000	18.7000	19.0000	55750
'2007/03/07 00:00	19.2500	19.2500	18.8000	18.9500	58959
'2007/03/08 00:00	19.0000	19.1000	18.7500	19.0000	50404
'2007/03/09 00:00	19.1000	19.2000	18.9000	19.0500	38613
'2007/03/12 00:00	19.1500	19.2000	19.0500	19.1000	14050
'2007/03/13 00:00	19.2500	19.6000	19.2000	19.6000	44577
'2007/03/14 00:00	19.1500	19.2500	19.0500	19.1000	35773
'2007/03/15 00:00	19.2500	19.4500	19.2500	19.3500	24282
'2007/03/16 00:00	19.4000	19.5000	19.1500	19.2500	40912
